"Category","Subcategory","Item","TypicalWeightKg","NetCo2eSavedKg","CarbonPointsAwarded"
"Furniture","Soft furniture","Sofa - 3-seater","55","190.9","191"
"Furniture","Soft furniture","Sofa - 2-seater","40","138.5","138"
"Furniture","Soft furniture","Armchair","25","86.0","86"
"Furniture","Soft furniture","Sofa bed","60","215.6","216"
"Furniture","Soft furniture","Recliner","45","169.5","170"
"Furniture","Soft furniture","Footstool / ottoman","8","24.2","24"
"Furniture","Beds & mattresses","Double mattress","30","121.5","122"
"Furniture","Beds & mattresses","Single mattress","18","72.3","72"
"Furniture","Beds & mattresses","King mattress","40","162.5","162"
"Furniture","Beds & mattresses","Bed frame - wooden double","35","52.0","52"
"Furniture","Beds & mattresses","Bed frame - metal double","30","73.6","74"
"Furniture","Beds & mattresses","Divan base","30","76.5","76"
"Furniture","Beds & mattresses","Cot / child bed","15","23.3","23"
"Furniture","Storage","Wardrobe - 2-door","50","74.8","75"
"Furniture","Storage","Wardrobe - 3-door","80","120.6","121"
"Furniture","Storage","Chest of drawers","30","44.4","44"
"Furniture","Storage","Bedside table","12","16.9","17"
"Furniture","Storage","Bookshelf - tall","25","36.7","37"
"Furniture","Storage","Bookshelf - small","12","16.9","17"
"Furniture","Storage","Shoe rack / cabinet","15","21.5","22"
"Furniture","Storage","Sideboard","40","59.6","60"
"Furniture","Storage","TV stand / unit","25","36.7","37"
"Furniture","Storage","Filing cabinet - metal","30","73.6","74"
"Furniture","Storage","Filing cabinet - wooden","25","36.7","37"
"Furniture","Tables & desks","Dining table - 4-seater","35","52.0","52"
"Furniture","Tables & desks","Dining table - 6-seater","55","82.5","82"
"Furniture","Tables & desks","Coffee table","15","21.5","22"
"Furniture","Tables & desks","Side table","8","10.8","11"
"Furniture","Tables & desks","Desk - home office","25","36.7","37"
"Furniture","Tables & desks","Desk - large / executive","45","72.6","73"
"Furniture","Tables & desks","Console table","20","29.1","29"
"Furniture","Seating","Dining chair - wooden","6","7.8","8"
"Furniture","Seating","Dining chair - upholstered","8","15.4","15"
"Furniture","Seating","Office chair","15","37.6","38"
"Furniture","Seating","Bar stool","8","9.0","9"
"Furniture","Seating","Bench - wooden","20","29.1","29"
"WEEE","Large appliances","Fridge freezer","60","145.6","146"
"WEEE","Large appliances","Fridge - standalone","45","108.8","109"
"WEEE","Large appliances","Chest freezer","55","133.3","133"
"WEEE","Large appliances","Washing machine","70","170.1","170"
"WEEE","Large appliances","Tumble dryer","45","108.8","109"
"WEEE","Large appliances","Washer-dryer combo","75","204.8","205"
"WEEE","Large appliances","Dishwasher","50","121.1","121"
"WEEE","Large appliances","Oven - electric","40","96.6","97"
"WEEE","Large appliances","Oven - gas","45","114.2","114"
"WEEE","Large appliances","Range cooker","80","218.6","219"
"WEEE","Large appliances","Hob - electric","12","35.2","35"
"WEEE","Large appliances","Extractor hood","8","23.0","23"
"WEEE","Small appliances","Microwave","12","50.2","50"
"WEEE","Small appliances","Kettle","1","3.5","4"
"WEEE","Small appliances","Toaster","2","8.4","8"
"WEEE","Small appliances","Coffee machine","4","17.0","17"
"WEEE","Small appliances","Air fryer","6","24.4","24"
"WEEE","Small appliances","Slow cooker","4","13.4","13"
"WEEE","Small appliances","Food processor / blender","4","15.8","16"
"WEEE","Small appliances","Stand mixer","10","38.6","39"
"WEEE","Small appliances","Vacuum cleaner - upright","8","29.0","29"
"WEEE","Small appliances","Vacuum cleaner - cordless","3","13.6","14"
"WEEE","Small appliances","Iron","1.5","5.1","5"
"WEEE","Small appliances","Hair dryer","1","3.5","4"
"WEEE","Small appliances","Heater - portable electric","5","14.1","14"
"WEEE","Small appliances","Fan - pedestal / tower","4","11.0","11"
"WEEE","Small appliances","Dehumidifier","10","35.6","36"
"WEEE","IT equipment","Desktop computer","10","89.6","90"
"WEEE","IT equipment","Laptop","2","22.8","23"
"WEEE","IT equipment","Monitor - LCD/LED","6","35.2","35"
"WEEE","IT equipment","Monitor - large / 4K","10","59.6","60"
"WEEE","IT equipment","Printer - inkjet","5","23.1","23"
"WEEE","IT equipment","Printer - laser","12","57.4","57"
"WEEE","IT equipment","Printer - multifunction","15","72.1","72"
"WEEE","IT equipment","Tablet","0.6","7.7","8"
"WEEE","IT equipment","Router / modem","0.5","1.6","2"
"WEEE","IT equipment","External hard drive","0.3","0.8","1"
"WEEE","IT equipment","Keyboard","0.8","1.1","1"
"WEEE","IT equipment","Mouse","0.2","-0.8","-1"
"WEEE","Consumer electronics","TV - 32-inch","8","47.4","47"
"WEEE","Consumer electronics","TV - 43-inch","10","59.6","60"
"WEEE","Consumer electronics","TV - 55-inch","15","90.1","90"
"WEEE","Consumer electronics","TV - 65-inch+","22","132.8","133"
"WEEE","Consumer electronics","Soundbar","3","11.5","12"
"WEEE","Consumer electronics","Hi-fi / stereo system","8","30.6","31"
"WEEE","Consumer electronics","Bluetooth speaker","1","3.5","4"
"WEEE","Consumer electronics","Games console","3","15.1","15"
"WEEE","Consumer electronics","DVD / Blu-ray player","2","6.0","6"
"WEEE","Consumer electronics","Projector","3","13.3","13"
"WEEE","Consumer electronics","Camera - digital","0.5","3.1","3"
"WEEE","Lighting","Floor lamp","4","7.4","7"
"WEEE","Lighting","Table lamp","2","3.0","3"
"WEEE","Lighting","Ceiling light / chandelier","5","11.1","11"
"WEEE","Lighting","LED strip / smart lighting","1","1.8","2"
"WEEE","Power tools","Power drill","2","8.4","8"
"WEEE","Power tools","Circular saw","4","17.0","17"
"WEEE","Power tools","Lawn mower - electric","15","45.1","45"
"WEEE","Power tools","Hedge trimmer","4","14.6","15"
"WEEE","Power tools","Pressure washer","12","39.4","39"
"Bulky","Other","Carpet / rug - large","15","37.6","38"
"Bulky","Other","Exercise bike","30","94.6","95"
"Bulky","Other","Treadmill","60","172.6","173"
"Bulky","Other","Weights bench","25","63.6","64"
"Bulky","Other","Bicycle","12","34.6","35"
"Bulky","Other","Pram / pushchair","10","31.6","32"
"Bulky","Other","High chair","6","13.6","14"
"Bulky","Other","Garden furniture - table","20","41.1","41"
"Bulky","Other","Garden furniture - chair","5","9.2","9"
"Bulky","Other","BBQ - gas","25","67.3","67"
"Bulky","Other","BBQ - charcoal","12","28.0","28"
